ticket_id,subject,message,category,priority
0,Incorrect charge on my last invoice,I was charged $49.99 but my subscription is for $29.99. Please check my account and rectify this overcharge immediately. Attached is a screenshot of my bank statement.,billing,high
1,Application crashing repeatedly on iOS,The mobile app crashes every time I try to open the 'Reports' section. I'm using an iPhone 13 Pro running iOS 17.2. I've tried reinstalling the app but the issue persists.,technical_issue,high
2,Cannot log in to my account,I'm unable to log in to my account. I've tried resetting my password multiple times but I'm still getting an 'invalid credentials' error. My username is 'johndoe'.,account_access,medium
3,Request for Dark Mode feature,"Could you please consider adding a dark mode option to your web application? It would be much easier on the eyes, especially during prolonged use. Many other services offer this now.",feature_request,low
4,How to export data to CSV?,I need to export all my transaction data for the last quarter into a CSV file. Can you please guide me on how to do this from the dashboard? I can't seem to find the option.,general_query,medium
5,Refund request for unused service,I signed up for the premium plan last week but realized it doesn't meet my needs. I haven't used any premium features. I'd like to request a full refund and downgrade to the free plan.,billing,high
6,Website loading very slowly today,The website has been incredibly slow all morning. Pages are taking upwards of 10-15 seconds to load. Is there a known issue or is it just me? My internet connection is fine.,technical_issue,medium
7,Password reset link not working,I requested a password reset but the link in the email leads to a 'page not found' error. My email is 'alice.smith@example.com'. Please send a working link or reset it for me.,account_access,medium
8,"Subscription renewal failed, service suspended","My subscription renewal failed and now my service is suspended. I updated my payment method, but it still shows as suspended. Please reactivate my account as soon as possible.",billing,high
9,Data not syncing between devices,"My data from the desktop application is not syncing with the mobile app. I made changes on my PC this morning, but they aren't reflected on my phone. Both apps are updated.",technical_issue,high
10,Consider adding API access,We would love to integrate your service with our internal tools. Do you have plans to release an API for data access and automation? This would be a significant benefit for us.,feature_request,medium
11,Is your software compatible with Windows 11?,I'm planning to upgrade my operating system to Windows 11. I just wanted to confirm if your desktop application is fully compatible and supported on the new OS.,general_query,low
12,My account is locked due to suspicious activity,I received an email stating my account has been locked due to suspicious login attempts. I was not trying to log in. Please help me secure and unlock my account urgently.,account_access,high
13,Unable to update payment method,"I'm trying to update my credit card information in the billing section, but after entering the new details, it just refreshes the page without saving. There's no error message.",billing,medium
14,Broken link on help center page,"On your help center, under the 'Getting Started' section, the link for 'Advanced Settings' is broken. It leads to a 404 error page. Could you please fix this?",technical_issue,low
15,Allow customizable dashboard widgets,"It would be great if users could customize the dashboard layout and choose which widgets are displayed. Currently, it feels a bit cluttered, and I only use a few sections.",feature_request,medium
16,What are your customer support hours?,"I'd like to know your operating hours for customer support. Is it 24/7 or only during business hours? Also, are you available on weekends?",general_query,low
17,Change primary email address for my account,I need to change the primary email address associated with my account from 'oldemail@example.com' to 'newemail@example.com'. Please advise on the process or do it for me.,account_access,medium
18,Request for previous invoices,I need copies of my invoices for the last financial year (January 2023 - December 2023) for tax purposes. I can only see the last 3 months in my account portal.,billing,low
19,Third-party integration failing,The integration with Zapier has stopped working since yesterday. Data is no longer flowing from your service to Zapier. I've reconnected the accounts but it's still failing.,technical_issue,high
20,"Payment failed, account suspended!","My recent payment for the Pro plan failed, and now my account is suspended. I've updated my card details, but the service is still inactive. Please reactivate my account immediately.",billing,high
21,App crashing frequently on iOS,"The mobile app (version 3.2.1) keeps crashing every time I try to open the 'Analytics' section on my iPhone 14 Pro (iOS 17.5.1). I've tried reinstalling it, but the issue persists.",technical_issue,medium
22,Cannot reset password - email not received,"I'm trying to reset my password, but I'm not receiving the password reset email. I've checked my spam folder. My username is 'johndoe'. I'm locked out of my account.",account_access,high
23,Feature Request: Dark Mode,"Could you please consider adding a dark mode option for the web application? It would be much easier on the eyes, especially for long working hours.",feature_request,low
24,How to export all my data?,"I need to export all my project data, including tasks and files, to a CSV or Excel format. I can't find this option anywhere in the settings. Could you guide me?",general_query,medium
25,Query regarding latest invoice (INV-2024-06-0123),"I received invoice INV-2024-06-0123 for $99, but my subscription is supposed to be $79. There seems to be an overcharge. Can you please clarify this?",billing,medium
26,Website completely down for me,Your entire website (www.example.com) is unreachable. I'm getting a 'DNS_PROBE_FINISHED_NXDOMAIN' error. Is there an outage? I need urgent access.,technical_issue,high
