ticket_id,text,predicted_category,predicted_priority,cat_confidence,pri_confidence
0,"Incorrect charge on my last statement I was charged $49.99 on 2023-10-26, but my subscription is only $29.99/month. Please investigate this discrepancy and issue a refund for the overcharge.",billing,high,0.8285,0.832
1,"Cannot log in to my account I'm unable to log into my account. I've tried resetting my password multiple times, but I keep getting an 'Invalid credentials' error. My email is john.doe@example.com.",account_access,medium,0.8501,0.5105
2,"Question about 'Advanced Filtering' feature I'm trying to use the advanced filtering option in the analytics dashboard, but I can't seem to get it to work as expected. Can you provide more detailed instructions or an example?",general_query,medium,0.7177,0.6115
3,"Website extremely slow today For the past few hours, your website has been loading incredibly slowly. Pages are taking 15-20 seconds to load, making it almost unusable. Is there an outage or maintenance underway?",technical_issue,medium,0.8987,0.6899
4,Request for refund - unwanted subscription renewal My subscription was automatically renewed on 2023-10-25 for another year. I intended to cancel it before the renewal date. Can I please get a full refund for the annual charge?,billing,high,0.8868,0.5731
5,"Feature X is not displaying correctly When I try to use the 'Project Overview' feature, the charts and graphs are completely blank. This issue started occurring after the last update. I'm using Chrome browser.",technical_issue,medium,0.3831,0.672
6,"Missing order item - Order #ORD123456 I received my order today, but one item (SKU: ABC-123) is missing from the package. The packing slip shows it should have been included. Please arrange to send the missing item.",account_access,high,0.3303,0.4678
7,How to change primary email address? I need to update the primary email address associated with my account from old.email@example.com to new.email@example.com. Where can I do this in the settings?,account_access,medium,0.8888,0.6069
8,Subscription upgrade request I'd like to upgrade my current 'Basic' plan to the 'Premium' plan. Can you guide me through the process or handle the upgrade for me? My current account ID is USER789.,billing,medium,0.4738,0.6449
9,Data synchronization issue My data is not synchronizing between the desktop application and the mobile app. Changes made on one platform are not reflecting on the other. This is causing significant problems.,technical_issue,high,0.8308,0.7258
10,Payment failed for current month I received an email stating my payment for this month failed. My card details are up to date. Could you please re-attempt the charge or tell me what's wrong?,billing,high,0.8428,0.7695
11,Account locked out after multiple attempts My account (username: user_name) is locked. I tried logging in multiple times with the wrong password. Please unlock it so I can try resetting the password.,account_access,high,0.8894,0.7125
12,"Feature Request: Dark Mode option I spend a lot of time using your application, especially late at night. A dark mode option would be incredibly helpful and much easier on the eyes. Please consider adding this!",feature_request,low,0.9112,0.869
13,"PDF export corruption When I export my reports to PDF, some text and images are corrupted or missing. This happens consistently across different reports. Please fix this critical bug.",technical_issue,medium,0.6559,0.4979
14,Question about API rate limits I'm integrating with your API and need clarification on the rate limits for the /data/ endpoint. Is it 1000 requests per hour or per day? The documentation isn't clear.,general_query,medium,0.5901,0.5497
15,Cancellation of service I would like to cancel my subscription and delete my account completely. Please confirm the cancellation process and when my account will be closed.,billing,medium,0.5832,0.6889
16,"Product received damaged - Order #ORD789012 The product I ordered arrived today, but the packaging was severely damaged, and the item inside is broken. I've attached photos. Please advise on how to proceed with a replacement.",general_query,medium,0.3113,0.582
17,"General feedback on new UI Just wanted to provide some feedback on the recent UI redesign. While some aspects are good, I find the navigation less intuitive than before. Perhaps a toggle for old/new UI?",general_query,low,0.74,0.6669
18,Error 500 when accessing dashboard I'm consistently getting an 'Error 500: Internal Server Error' whenever I try to load my main dashboard. This started happening this morning. Other pages seem to work.,technical_issue,medium,0.882,0.765
19,"Can't upload large files I'm trying to upload a file that is 500MB, but the uploader keeps failing with a generic 'upload failed' message. Is there a file size limit? It used to work with smaller files.",technical_issue,medium,0.4361,0.8061
20,Order #XYZ789 not delivered My order placed on July 10th with order number XYZ789 has not arrived yet. The tracking information shows 'Delivered' but I never received it. Can you please investigate?,account_access,medium,0.3359,0.4508
21,"Unable to log in to my account I'm trying to log in but my password isn't working, and the password reset link isn't sending an email to my address (john.doe@example.com). Please help me regain access.",account_access,high,0.919,0.6338
22,Duplicate charge on credit card I was charged twice for my subscription renewal on August 1st. My account shows only one active subscription. Please issue a refund for the duplicate charge.,billing,high,0.8934,0.7963
23,"Product 'SuperWidget 3000' stopped working I purchased a SuperWidget 3000 last month (order #ABC1234), and it has suddenly stopped turning on. It was working fine until yesterday. What are my options for a replacement or repair?",technical_issue,low,0.4308,0.3616
24,"Compatibility query for 'MegaApp Pro' I'm considering purchasing the MegaApp Pro, but I need to know if it's compatible with macOS Ventura (13.5). My current setup relies heavily on this OS version.",general_query,medium,0.7849,0.5815
25,Feature Request: Export to Google Sheets Love your service! A feature that would be incredibly useful for my workflow is the ability to directly export data from my dashboard to Google Sheets. Is this something you might consider adding?,feature_request,low,0.8683,0.5739
26,Cancellation of subscription - Account: jane.smith@email.com I would like to cancel my premium subscription. My account is associated with jane.smith@email.com. Please confirm the cancellation and any remaining billing cycles.,billing,medium,0.5823,0.6996
27,"Website extremely slow today For the past few hours, your website has been incredibly slow to load pages. It's affecting my ability to perform tasks. Is there a known issue or maintenance happening?",technical_issue,medium,0.8397,0.7622
28,"Received incorrect item (Order #DEF567) My order DEF567 arrived today, but instead of the 'Blue Widget', I received a 'Green Gizmo'. I need the correct item as soon as possible. What's the process for exchange?",billing,high,0.3428,0.5236
29,"Question about upgrading my plan I'm currently on the 'Basic' plan and would like to upgrade to the 'Pro' plan. What are the steps to do this, and will my existing data be preserved?",feature_request,medium,0.4252,0.4647
30,Refund status for return #RMA001 I returned an item with RMA number RMA001 on August 5th. I haven't seen the refund processed yet. Can you provide an update on its status?,general_query,medium,0.4889,0.519
31,Account locked due to suspicious activity I received an email stating my account has been locked due to suspicious login attempts. I confirm I did not try to log in from unusual locations. Please help me unlock it.,account_access,high,0.8898,0.7643
32,"Bug Report: 'Add to Cart' button unresponsive I've noticed that on several product pages, the 'Add to Cart' button becomes unresponsive after clicking it once, even if the item wasn't added. Refreshing the page sometimes helps. Browser: Chrome 115, OS: Windows 10.",technical_issue,medium,0.7442,0.4952
33,Inquiry about enterprise pricing My company is interested in a large-scale deployment of your software. Do you offer enterprise-level pricing or custom packages beyond what's listed on your site?,general_query,low,0.67,0.5719
34,"Change shipping address for pending order #PQR456 I need to change the shipping address for my order PQR456. It is still showing as 'processing'. The new address is 123 Main St, Anytown, CA 90210. Please confirm if this is possible.",account_access,medium,0.5796,0.6078
35,Cannot complete checkout - Payment Gateway Error I'm trying to place an order but constantly getting a 'Payment Gateway Error' message after entering my card details. I've tried multiple cards. Is there an issue with your payment processor?,billing,high,0.4929,0.5515
36,"Product arrived damaged (Order #LMN789) The 'Deluxe Coffee Maker' I ordered (LMN789) arrived today, but the glass carafe is shattered. The packaging seemed intact. I've attached photos. What should I do next?",general_query,medium,0.2684,0.4155
37,"Help with setting up new 'SmartHome Hub' I just received my new SmartHome Hub, and I'm having trouble connecting it to my Wi-Fi network and integrating my existing smart devices. Can I get some guided assistance?",general_query,medium,0.4349,0.5864
38,Not receiving newsletter emails I'm subscribed to your weekly newsletter (email: sub.user@domain.com) but haven't received any emails for the past three weeks. I've checked my spam folder. Can you check my subscription status?,billing,high,0.4586,0.5429
39,"Feedback on recent UI update I wanted to provide feedback on the recent user interface update. While some changes are good, the navigation feels less intuitive now, especially for finding settings.",general_query,low,0.6218,0.6362
