ticket_id,predicted_category,predicted_priority,top_3_retrieved_sources,top_3_chunk_ids,top_retrieval_score,draft_response,confidence_score,abstain_flag,cat_confidence,pri_confidence
0,billing,high,billing,billing_s0|billing_s2|billing_s5,0.3243,"Thank you for reaching out. Based on your Billing inquiry, here is information from our knowledge base that should help:

Understand your subscription details, including pricing plans, billing cycles, and payment methods, all accessible from your dashboard. Should you need to update your payment information, our secure portal allows for quick and easy modifications.

If this does not fully resolve your issue, please contact our support team directly for further assistance.

[Sources: billing]",0.8195,0,0.8285,0.832
1,account_access,medium,account,account_s3|account_s1|account_s0,0.3125,"Thank you for reaching out. Based on your Account Access inquiry, here is information from our knowledge base that should help:

We prioritize the security of your account with advanced measures like two-factor authentication. You can easily reset your password using the 'Forgot Password' link on the login page or through your security settings.

If this does not fully resolve your issue, please contact our support team directly for further assistance.

[Sources: account]",0.8142,0,0.8501,0.5105
2,general_query,medium,general,general_s1|general_s2|general_s4,0.2071,"Thank you for reaching out. Based on your General Query inquiry, here is information from our knowledge base that should help:

This comprehensive knowledge base serves as your primary resource for answers to common questions and provides detailed getting started guides. Find crucial information on our terms of service, privacy policy, and acceptable use guidelines here.

If this does not fully resolve your issue, please contact our support team directly for further assistance.

[Sources: general]",0.6016,0,0.7177,0.6115
3,technical_issue,medium,technical,technical_s2|technical_s1|technical_s0,0.2076,"Thank you for reaching out. Based on your Technical Issue inquiry, here is information from our knowledge base that should help:

You can also check our real-time status page for updates on system performance and any scheduled maintenance. If you encounter any technical issues or error messages, please consult our dedicated troubleshooting section first.

If this does not fully resolve your issue, please contact our support team directly for further assistance.

[Sources: technical]",0.658,0,0.8987,0.6899
4,billing,high,billing,billing_s0|billing_s2|billing_s5,0.3143,"Thank you for reaching out. Based on your Billing inquiry, here is information from our knowledge base that should help:

Understand your subscription details, including pricing plans, billing cycles, and payment methods, all accessible from your dashboard. Should you need to update your payment information, our secure portal allows for quick and easy modifications.

If this does not fully resolve your issue, please contact our support team directly for further assistance.

[Sources: billing]",0.8333,0,0.8868,0.5731
5,technical_issue,medium,technical|features,technical_s1|technical_s0|features_s3,0.1259,"Thank you for reaching out. Based on your Technical Issue inquiry, here is information from our knowledge base that should help:

If you encounter any technical issues or error messages, please consult our dedicated troubleshooting section first. Our technical documentation offers comprehensive guides for API integration, allowing seamless connection with your existing systems.

If this does not fully resolve your issue, please contact our support team directly for further assistance.

[Sources: technical, features]",0.3456,0,0.3831,0.672
6,account_access,high,account,account_s3|account_s1|account_s5,0.3764,"Thank you for reaching out. Based on your Account Access inquiry, here is information from our knowledge base that should help:

We prioritize the security of your account with advanced measures like two-factor authentication. You can easily reset your password using the 'Forgot Password' link on the login page or through your security settings.

If this does not fully resolve your issue, please contact our support team directly for further assistance.

[Sources: account]",0.489,0,0.3303,0.4678
7,account_access,medium,account,account_s3|account_s1|account_s0,0.233,"Thank you for reaching out. Based on your Account Access inquiry, here is information from our knowledge base that should help:

We prioritize the security of your account with advanced measures like two-factor authentication. You can easily reset your password using the 'Forgot Password' link on the login page or through your security settings.

If this does not fully resolve your issue, please contact our support team directly for further assistance.

[Sources: account]",0.7038,0,0.8888,0.6069
8,billing,medium,billing|account,billing_s0|account_s5|account_s3,0.2305,"Thank you for reaching out. Based on your Billing inquiry, here is information from our knowledge base that should help:

Understand your subscription details, including pricing plans, billing cycles, and payment methods, all accessible from your dashboard. Keeping your account information current ensures you receive the best service and relevant communications.

If this does not fully resolve your issue, please contact our support team directly for further assistance.

[Sources: billing, account]",0.5201,0,0.4738,0.6449
9,technical_issue,high,technical,technical_s5|technical_s1|technical_s3,0.2293,"Thank you for reaching out. Based on your Technical Issue inquiry, here is information from our knowledge base that should help:

Your data's integrity and the platform's reliability are our top priorities. If you encounter any technical issues or error messages, please consult our dedicated troubleshooting section first.

If this does not fully resolve your issue, please contact our support team directly for further assistance.

[Sources: technical]",0.6784,0,0.8308,0.7258
10,billing,high,billing|account,billing_s0|billing_s2|account_s0,0.3171,"Thank you for reaching out. Based on your Billing inquiry, here is information from our knowledge base that should help:

Understand your subscription details, including pricing plans, billing cycles, and payment methods, all accessible from your dashboard. Should you need to update your payment information, our secure portal allows for quick and easy modifications.

If this does not fully resolve your issue, please contact our support team directly for further assistance.

[Sources: billing, account]",0.817,0,0.8428,0.7695
11,account_access,high,account,account_s1|account_s3|account_s5,0.3501,"Thank you for reaching out. Based on your Account Access inquiry, here is information from our knowledge base that should help:

You can easily reset your password using the 'Forgot Password' link on the login page or through your security settings. We prioritize the security of your account with advanced measures like two-factor authentication.

If this does not fully resolve your issue, please contact our support team directly for further assistance.

[Sources: account]",0.8822,0,0.8894,0.7125
12,feature_request,low,features,features_s0|features_s3|features_s4,0.1663,"Thank you for reaching out. Based on your Feature Request inquiry, here is information from our knowledge base that should help:

Explore the powerful features designed to streamline your workflow and significantly enhance productivity across your organization. Each feature is meticulously crafted to address key challenges faced by our users, offering practical and innovative solutions.

If this does not fully resolve your issue, please contact our support team directly for further assistance.

[Sources: features]",0.5709,0,0.9112,0.869
